FIPS,County,Year,Population,Primary Point
19003,Adams County,July 01 2004,4256,POINT (-94.6991849 41.02898390000001)
19127,Marshall County,July 01 2003,39033,POINT (-92.9987706 42.0358499)
19015,Boone County,July 01 1998,26023,POINT (-93.931671 42.0365493)
19191,Winneshiek County,July 01 2015,20745,POINT (-91.8437074 43.2906746)
19175,Union County,July 01 1997,12459,POINT (-94.2423792 41.0277304)
19141,O'Brien County,July 01 2019,13753,POINT (-95.6248784 43.0837527)
19027,Carroll County,July 01 1994,21634,POINT (-94.8605593 42.0362382)
19155,Pottawattamie County,July 01 1998,85677,POINT (-95.5423935 41.3366123)
19193,Woodbury County,July 01 1997,103994,POINT (-96.0447673 42.3897169)
19005,Allamakee County,July 01 1995,14248,POINT (-91.3780923 43.2842838)
19085,Harrison County,July 01 2006,15542,POINT (-95.8169209 41.6828528)
19017,Bremer County,July 01 1991,22854,POINT (-92.31805480000001 42.7745873)
19075,Grundy County,July 01 1995,12152,POINT (-92.7914177 42.4018651)
19027,Carroll County,July 01 2009,20674,POINT (-94.8605593 42.0362382)
19007,Appanoose County,July 01 1994,13903,POINT (-92.8686104 40.7431635)
19057,Des Moines County,July 01 2016,39613,POINT (-91.1814707 40.9231829)
19097,Jackson County,April 01 2010,19848,POINT (-90.5742294 42.1717426)
19131,Mitchell County,July 01 1991,10919,POINT (-92.7890315 43.3564124)
19159,Ringgold County,July 01 2005,5191,POINT (-94.2439719 40.7352023)
19123,Mahaska County,July 01 2017,22211,POINT (-92.6409094 41.3352035)
19057,Des Moines County,July 01 2003,41152,POINT (-91.1814707 40.9231829)
19019,Buchanan County,April 01 1990,20844,POINT (-91.8378392 42.4707777)
19069,Franklin County,July 01 1999,10875,POINT (-93.262473 42.7325458)
19029,Cass County,July 01 2006,13912,POINT (-94.9278266 41.3314876)
19001,Adair County,July 01 2007,7584,POINT (-94.4709413 41.3307464)
19045,Clinton County,July 01 1994,51489,POINT (-90.5319724 41.8980358)
19047,Crawford County,July 01 2019,16820,POINT (-95.3819678 42.0372125)
19137,Montgomery County,July 01 2004,11162,POINT (-95.1563758 41.03014)
19099,Jasper County,July 01 2015,36750,POINT (-93.053765 41.6860394)
19015,Boone County,July 01 1999,25930,POINT (-93.931671 42.0365493)
19001,Adair County,July 01 2014,7368,POINT (-94.4709413 41.3307464)
19163,Scott County,July 01 2001,158542,POINT (-90.6232428 41.6370978)
19037,Chickasaw County,July 01 2005,12268,POINT (-92.3176637 43.06004140000001)
19073,Greene County,July 01 2003,10000,POINT (-94.3968356 42.0362394)
19165,Shelby County,July 01 2012,12024,POINT (-95.31021130000002 41.6850926)
19061,Dubuque County,July 01 1991,86462,POINT (-90.8824564 42.468832)
19059,Dickinson County,July 01 1994,15389,POINT (-95.1508301 43.3779848)
19115,Louisa County,July 01 2004,12048,POINT (-91.2596184 41.2185073)
19081,Hancock County,July 01 2009,11046,POINT (-93.7342723 43.0818861)
19057,Des Moines County,July 01 1992,42871,POINT (-91.1814707 40.9231829)
19091,Humboldt County,July 01 1994,10517,POINT (-94.2071868 42.7764686)
19097,Jackson County,July 01 2005,20035,POINT (-90.5742294 42.1717426)
19017,Bremer County,July 01 2006,23531,POINT (-92.31805480000001 42.7745873)
19183,Washington County,July 01 2003,20994,POINT (-91.7178676 41.335591)
19109,Kossuth County,July 01 2017,14939,POINT (-94.2067199 43.20413)
19043,Clayton County,July 01 1993,18813,POINT (-91.34143280000002 42.8447493)
19101,Jefferson County,July 01 1997,16517,POINT (-91.9488774 41.0317596)
19069,Franklin County,July 01 2004,10641,POINT (-93.262473 42.7325458)
19019,Buchanan County,July 01 2001,20945,POINT (-91.8378392 42.4707777)
19191,Winneshiek County,July 01 2006,20784,POINT (-91.8437074 43.2906746)
19041,Clay County,July 01 1992,17638,POINT (-95.1509194 43.0825804)
19137,Montgomery County,April 01 2010,10740,POINT (-95.1563758 41.03014)
19175,Union County,July 01 2018,12298,POINT (-94.2423792 41.0277304)
19135,Monroe County,July 01 2019,7707,POINT (-92.8689877 41.0297826)
19095,Iowa County,July 01 2012,16180,POINT (-92.065524 41.6863229)
19073,Greene County,July 01 2002,10092,POINT (-94.3968356 42.0362394)
19189,Winnebago County,July 01 1994,11757,POINT (-93.7341955 43.37756780000001)
19003,Adams County,July 01 1992,4748,POINT (-94.6991849 41.02898390000001)
19161,Sac County,July 01 2005,10528,POINT (-95.1053946 42.3862604)
19179,Wapello County,July 01 1994,36272,POINT (-92.4094499 41.03058450000001)
19139,Muscatine County,July 01 1999,41417,POINT (-91.1127562 41.4839221)
19005,Allamakee County,July 01 1994,14231,POINT (-91.3780923 43.2842838)
19039,Clarke County,July 01 2018,9502,POINT (-93.78515790000002 41.0290323)
19035,Cherokee County,July 01 2018,11295,POINT (-95.6238055 42.7356226)
19085,Harrison County,July 01 1993,14752,POINT (-95.8169209 41.6828528)
19113,Linn County,July 01 1995,179064,POINT (-91.5989646 42.0789478)
19101,Jefferson County,July 01 2015,17906,POINT (-91.9488774 41.0317596)
19167,Sioux County,July 01 2016,34944,POINT (-96.1778827 43.0826174)
19155,Pottawattamie County,July 01 2018,93264,POINT (-95.5423935 41.3366123)
19021,Buena Vista County,July 01 2012,20561,POINT (-95.15114900000002 42.7354936)
19077,Guthrie County,July 01 2002,11214,POINT (-94.501055 41.6837548)
19163,Scott County,April 01 1990,150973,POINT (-90.6232428 41.6370978)
19029,Cass County,July 01 2015,13351,POINT (-94.9278266 41.3314876)
19035,Cherokee County,July 01 2014,11801,POINT (-95.6238055 42.7356226)
19029,Cass County,July 01 1996,15043,POINT (-94.9278266 41.3314876)
19175,Union County,July 01 2002,12083,POINT (-94.2423792 41.0277304)
19165,Shelby County,July 01 2002,12836,POINT (-95.31021130000002 41.6850926)
19193,Woodbury County,July 01 1999,103653,POINT (-96.0447673 42.3897169)
19003,Adams County,July 01 2017,3657,POINT (-94.6991849 41.02898390000001)
19073,Greene County,April 01 2010,9336,POINT (-94.3968356 42.0362394)
19079,Hamilton County,July 01 2015,15218,POINT (-93.7068085 42.3837722)
19187,Webster County,July 01 2015,37066,POINT (-94.18178810000002 42.4279662)
19139,Muscatine County,July 01 1998,41280,POINT (-91.1127562 41.4839221)
19075,Grundy County,July 01 1993,12081,POINT (-92.7914177 42.4018651)
19087,Henry County,July 01 2005,20166,POINT (-91.5445241 40.9879383)
19083,Hardin County,July 01 1996,19103,POINT (-93.2404025 42.3838803)
19057,Des Moines County,July 01 2007,40634,POINT (-91.1814707 40.9231829)
19071,Fremont County,July 01 2001,7866,POINT (-95.6046765 40.7455892)
19057,Des Moines County,July 01 2009,41058,POINT (-91.1814707 40.9231829)
19029,Cass County,July 01 2001,14476,POINT (-94.9278266 41.3314876)
19153,Polk County,July 01 2005,401993,POINT (-93.5735335 41.6855048)
19069,Franklin County,July 01 2018,10085,POINT (-93.262473 42.7325458)
19095,Iowa County,July 01 2008,15750,POINT (-92.065524 41.6863229)
19141,O'Brien County,July 01 1993,15638,POINT (-95.6248784 43.0837527)
19005,Allamakee County,July 01 2009,14407,POINT (-91.3780923 43.2842838)
19011,Benton County,July 01 2008,26642,POINT (-92.0656912 42.0801864)
19179,Wapello County,July 01 2005,35771,POINT (-92.4094499 41.03058450000001)
19171,Tama County,July 01 1991,17436,POINT (-92.5325425 42.07981170000001)
19045,Clinton County,July 01 2014,47895,POINT (-90.5319724 41.8980358)
19087,Henry County,July 01 2017,20044,POINT (-91.5445241 40.9879383)
19197,Wright County,July 01 1995,14470,POINT (-93.7351465 42.7331189)
19153,Polk County,April 01 1990,327140,POINT (-93.5735335 41.6855048)
19091,Humboldt County,July 01 2018,9559,POINT (-94.2071868 42.7764686)
19113,Linn County,July 01 1994,176786,POINT (-91.5989646 42.0789478)
19029,Cass County,July 01 1991,15110,POINT (-94.9278266 41.3314876)
19021,Buena Vista County,July 01 1994,20578,POINT (-95.15114900000002 42.7354936)
19045,Clinton County,July 01 2017,46874,POINT (-90.5319724 41.8980358)
19125,Marion County,July 01 2006,32830,POINT (-93.0994367 41.3344515)
19123,Mahaska County,July 01 1996,22055,POINT (-92.6409094 41.3352035)
19055,Delaware County,July 01 1995,18322,POINT (-91.3673502 42.471211)
19149,Plymouth County,July 01 1998,24691,POINT (-96.2140431 42.7378346)
19111,Lee County,July 01 2018,33909,POINT (-91.479264 40.6419764)
19025,Calhoun County,July 01 2009,9671,POINT (-94.6404136 42.385184800000005)
19111,Lee County,July 01 2011,35569,POINT (-91.479264 40.6419764)
19003,Adams County,July 01 1997,4534,POINT (-94.6991849 41.02898390000001)
19177,Van Buren County,July 01 2019,7044,POINT (-91.9499871 40.7532294)
19041,Clay County,July 01 2003,16957,POINT (-95.1509194 43.0825804)
19065,Fayette County,July 01 1991,21889,POINT (-91.8443207 42.8625919)
19143,Osceola County,July 01 1998,7167,POINT (-95.6236852 43.3785704)
19165,Shelby County,July 01 2011,11992,POINT (-95.31021130000002 41.6850926)
19007,Appanoose County,July 01 2001,13558,POINT (-92.8686104 40.7431635)
19039,Clarke County,July 01 2001,9180,POINT (-93.78515790000002 41.0290323)
19113,Linn County,July 01 2009,209226,POINT (-91.5989646 42.0789478)
19151,Pocahontas County,July 01 1993,9312,POINT (-94.67874660000001 42.73413510000001)
19001,Adair County,July 01 2002,7964,POINT (-94.4709413 41.3307464)
19031,Cedar County,July 01 2012,18296,POINT (-91.1324125 41.7723207)
19179,Wapello County,July 01 1996,35990,POINT (-92.4094499 41.03058450000001)
19167,Sioux County,July 01 1999,31649,POINT (-96.1778827 43.0826174)
19045,Clinton County,July 01 1995,51320,POINT (-90.5319724 41.8980358)
19093,Ida County,July 01 2006,7021,POINT (-95.5134962 42.3868747)
19039,Clarke County,July 01 1992,8353,POINT (-93.78515790000002 41.0290323)
19005,Allamakee County,July 01 2004,14371,POINT (-91.3780923 43.2842838)
19085,Harrison County,July 01 2012,14475,POINT (-95.8169209 41.6828528)
19057,Des Moines County,July 01 2002,41307,POINT (-91.1814707 40.9231829)
19099,Jasper County,April 01 2010,36842,POINT (-93.053765 41.6860394)
19099,Jasper County,July 01 2013,36728,POINT (-93.053765 41.6860394)
19171,Tama County,July 01 1997,17885,POINT (-92.5325425 42.07981170000001)
19031,Cedar County,July 01 2003,18058,POINT (-91.1324125 41.7723207)
19033,Cerro Gordo County,July 01 2013,43528,POINT (-93.2608184 43.081557700000005)
19041,Clay County,July 01 2019,16016,POINT (-95.1509194 43.0825804)
19127,Marshall County,July 01 2001,39274,POINT (-92.9987706 42.0358499)
19063,Emmet County,July 01 2013,9880,POINT (-94.6784803 43.37802250000001)
19137,Montgomery County,July 01 2001,11506,POINT (-95.1563758 41.03014)
19131,Mitchell County,July 01 2002,10826,POINT (-92.7890315 43.3564124)
19061,Dubuque County,July 01 2001,88998,POINT (-90.8824564 42.468832)
19079,Hamilton County,July 01 1997,16356,POINT (-93.7068085 42.3837722)
19015,Boone County,July 01 1994,25133,POINT (-93.931671 42.0365493)
19131,Mitchell County,July 01 2017,10563,POINT (-92.7890315 43.3564124)
19071,Fremont County,July 01 2003,7704,POINT (-95.6046765 40.7455892)
19187,Webster County,July 01 1995,39780,POINT (-94.18178810000002 42.4279662)
19049,Dallas County,July 01 2008,59977,POINT (-94.0397374 41.6848862)
19163,Scott County,July 01 2005,160073,POINT (-90.6232428 41.6370978)
19129,Mills County,July 01 2019,15109,POINT (-95.62132670000001 41.0334523)
19173,Taylor County,July 01 2003,6737,POINT (-94.6964148 40.73743240000001)
19105,Jones County,July 01 2008,20430,POINT (-91.1314352 42.1212397)
19111,Lee County,July 01 1997,38781,POINT (-91.479264 40.6419764)
19123,Mahaska County,July 01 2009,22000,POINT (-92.6409094 41.3352035)
19035,Cherokee County,April 01 2010,12072,POINT (-95.6238055 42.7356226)
19133,Monona County,July 01 2002,9705,POINT (-95.9599235 42.0516663)
19005,Allamakee County,July 01 1999,14611,POINT (-91.3780923 43.2842838)
19133,Monona County,July 01 2014,8899,POINT (-95.9599235 42.0516663)
19173,Taylor County,July 01 2017,6095,POINT (-94.6964148 40.73743240000001)
19161,Sac County,July 01 2017,9803,POINT (-95.1053946 42.3862604)
19047,Crawford County,July 01 1996,16761,POINT (-95.3819678 42.0372125)
19151,Pocahontas County,April 01 2010,7310,POINT (-94.67874660000001 42.73413510000001)
19109,Kossuth County,July 01 2002,16499,POINT (-94.2067199 43.20413)
19033,Cerro Gordo County,July 01 2005,44321,POINT (-93.2608184 43.081557700000005)
19067,Floyd County,July 01 2017,15767,POINT (-92.78900330000002 43.0599208)
19175,Union County,July 01 2011,12556,POINT (-94.2423792 41.0277304)
19177,Van Buren County,July 01 1995,7686,POINT (-91.9499871 40.7532294)
19109,Kossuth County,April 01 2000,17163,POINT (-94.2067199 43.20413)
19023,Butler County,July 01 2006,14632,POINT (-92.7901934 42.7315661)
19163,Scott County,July 01 2014,171310,POINT (-90.6232428 41.6370978)
19189,Winnebago County,July 01 2007,10772,POINT (-93.7341955 43.37756780000001)
19091,Humboldt County,July 01 2009,9473,POINT (-94.2071868 42.7764686)
19165,Shelby County,July 01 2015,11789,POINT (-95.31021130000002 41.6850926)
19081,Hancock County,July 01 1994,12170,POINT (-93.7342723 43.0818861)
19019,Buchanan County,July 01 1991,20842,POINT (-91.8378392 42.4707777)
19099,Jasper County,July 01 2014,36886,POINT (-93.053765 41.6860394)
19125,Marion County,July 01 2008,32774,POINT (-93.0994367 41.3344515)
19071,Fremont County,July 01 1994,8217,POINT (-95.6046765 40.7455892)
19147,Palo Alto County,July 01 1994,10506,POINT (-94.6781371 43.0820643)
19197,Wright County,July 01 2014,12906,POINT (-93.7351465 42.7331189)
19095,Iowa County,July 01 1997,15332,POINT (-92.065524 41.6863229)
19163,Scott County,July 01 2008,164437,POINT (-90.6232428 41.6370978)
19123,Mahaska County,July 01 1994,21798,POINT (-92.6409094 41.3352035)
19197,Wright County,July 01 2015,12841,POINT (-93.7351465 42.7331189)
19139,Muscatine County,July 01 2011,42842,POINT (-91.1127562 41.4839221)
19163,Scott County,July 01 2013,170201,POINT (-90.6232428 41.6370978)
19085,Harrison County,July 01 2013,14357,POINT (-95.8169209 41.6828528)
19135,Monroe County,July 01 2006,7643,POINT (-92.8689877 41.0297826)
19035,Cherokee County,April 01 2000,13032,POINT (-95.6238055 42.7356226)
19167,Sioux County,July 01 2005,31905,POINT (-96.1778827 43.0826174)
19055,Delaware County,April 01 1990,18035,POINT (-91.3673502 42.471211)
19009,Audubon County,July 01 1996,6954,POINT (-94.9058222 41.6845893)
19015,Boone County,July 01 2009,26072,POINT (-93.931671 42.0365493)
19067,Floyd County,July 01 2002,16589,POINT (-92.78900330000002 43.0599208)
19071,Fremont County,July 01 2015,6912,POINT (-95.6046765 40.7455892)
19077,Guthrie County,July 01 1994,11123,POINT (-94.501055 41.6837548)
19097,Jackson County,July 01 2009,19728,POINT (-90.5742294 42.1717426)
19061,Dubuque County,July 01 1994,88261,POINT (-90.8824564 42.468832)
19119,Lyon County,July 01 2004,11512,POINT (-96.2102924 43.380497)
19139,Muscatine County,July 01 2013,43010,POINT (-91.1127562 41.4839221)
19001,Adair County,July 01 2011,7546,POINT (-94.4709413 41.3307464)
19169,Story County,July 01 2013,93877,POINT (-93.4650448 42.0362415)
19069,Franklin County,July 01 2013,10507,POINT (-93.262473 42.7325458)
19093,Ida County,July 01 2015,6968,POINT (-95.5134962 42.3868747)
19019,Buchanan County,July 01 1997,21126,POINT (-91.8378392 42.4707777)
19121,Madison County,July 01 1999,13702,POINT (-94.01556190000001 41.33071420000001)
19097,Jackson County,July 01 2017,19382,POINT (-90.5742294 42.1717426)
19081,Hancock County,July 01 2011,11292,POINT (-93.7342723 43.0818861)
19091,Humboldt County,April 01 1990,10756,POINT (-94.2071868 42.7764686)
19041,Clay County,July 01 1996,17577,POINT (-95.1509194 43.0825804)
19013,Black Hawk County,July 01 2017,132238,POINT (-92.3088197 42.4700957)
19017,Bremer County,July 01 2002,23202,POINT (-92.31805480000001 42.7745873)
19083,Hardin County,July 01 2001,18648,POINT (-93.2404025 42.3838803)
19011,Benton County,July 01 2003,26176,POINT (-92.0656912 42.0801864)
19069,Franklin County,July 01 1991,11351,POINT (-93.262473 42.7325458)
19127,Marshall County,July 01 2015,40352,POINT (-92.9987706 42.0358499)
19185,Wayne County,July 01 2003,6568,POINT (-93.3273639 40.73947020000001)
19141,O'Brien County,July 01 1998,15498,POINT (-95.6248784 43.0837527)
19129,Mills County,July 01 1992,13227,POINT (-95.62132670000001 41.0334523)
19007,Appanoose County,July 01 2015,12577,POINT (-92.8686104 40.7431635)
19021,Buena Vista County,July 01 2009,19601,POINT (-95.15114900000002 42.7354936)
19145,Page County,July 01 2011,15898,POINT (-95.1501747 40.7391444)
19137,Montgomery County,July 01 2016,10124,POINT (-95.1563758 41.03014)
19103,Johnson County,July 01 2012,137103,POINT (-91.5880849 41.6715511)
19011,Benton County,July 01 2011,26078,POINT (-92.0656912 42.0801864)
19027,Carroll County,July 01 2004,20888,POINT (-94.8605593 42.0362382)
19073,Greene County,July 01 2012,9181,POINT (-94.3968356 42.0362394)
19015,Boone County,July 01 2014,26290,POINT (-93.931671 42.0365493)
19101,Jefferson County,July 01 2016,18063,POINT (-91.9488774 41.0317596)
19079,Hamilton County,July 01 2014,15217,POINT (-93.7068085 42.3837722)
19189,Winnebago County,July 01 2004,11189,POINT (-93.7341955 43.37756780000001)
19037,Chickasaw County,July 01 2015,12151,POINT (-92.3176637 43.06004140000001)
19079,Hamilton County,July 01 1994,16188,POINT (-93.7068085 42.3837722)
19127,Marshall County,July 01 2016,40135,POINT (-92.9987706 42.0358499)
19093,Ida County,July 01 2014,6971,POINT (-95.5134962 42.3868747)
19111,Lee County,July 01 2007,35823,POINT (-91.479264 40.6419764)
19157,Poweshiek County,July 01 2004,18794,POINT (-92.53146840000001 41.6864422)
19181,Warren County,July 01 1996,38645,POINT (-93.5613594 41.3343735)
19101,Jefferson County,July 01 2001,16035,POINT (-91.9488774 41.0317596)
19041,Clay County,July 01 2009,16617,POINT (-95.1509194 43.0825804)
19005,Allamakee County,July 01 2018,13852,POINT (-91.3780923 43.2842838)
19009,Audubon County,July 01 1991,7335,POINT (-94.9058222 41.6845893)
19153,Polk County,July 01 1994,345143,POINT (-93.5735335 41.6855048)
19071,Fremont County,July 01 2019,6960,POINT (-95.6046765 40.7455892)
19105,Jones County,July 01 1998,20587,POINT (-91.1314352 42.1212397)
19073,Greene County,July 01 2006,9568,POINT (-94.3968356 42.0362394)
19135,Monroe County,July 01 1999,8080,POINT (-92.8689877 41.0297826)
19037,Chickasaw County,July 01 2011,12405,POINT (-92.3176637 43.06004140000001)
19037,Chickasaw County,July 01 2007,12174,POINT (-92.3176637 43.06004140000001)
19159,Ringgold County,July 01 2012,5027,POINT (-94.2439719 40.7352023)
19159,Ringgold County,July 01 1999,5441,POINT (-94.2439719 40.7352023)
19099,Jasper County,April 01 2000,37213,POINT (-93.053765 41.6860394)
19099,Jasper County,July 01 2006,36735,POINT (-93.053765 41.6860394)
19015,Boone County,July 01 2013,26284,POINT (-93.931671 42.0365493)
19193,Woodbury County,July 01 2003,102441,POINT (-96.0447673 42.3897169)
19169,Story County,July 01 2019,97117,POINT (-93.4650448 42.0362415)
19137,Montgomery County,July 01 2012,10540,POINT (-95.1563758 41.03014)
19149,Plymouth County,July 01 2002,24552,POINT (-96.2140431 42.7378346)
19161,Sac County,July 01 1993,12152,POINT (-95.1053946 42.3862604)
19045,Clinton County,July 01 2013,48281,POINT (-90.5319724 41.8980358)
19023,Butler County,April 01 2000,15305,POINT (-92.7901934 42.7315661)
19155,Pottawattamie County,July 01 1992,82864,POINT (-95.5423935 41.3366123)
19037,Chickasaw County,July 01 1992,13219,POINT (-92.3176637 43.06004140000001)
19045,Clinton County,July 01 2001,49845,POINT (-90.5319724 41.8980358)
19007,Appanoose County,July 01 2006,13158,POINT (-92.8686104 40.7431635)
19057,Des Moines County,July 01 1997,42825,POINT (-91.1814707 40.9231829)
19001,Adair County,July 01 1997,8363,POINT (-94.4709413 41.3307464)
19173,Taylor County,July 01 1992,7053,POINT (-94.6964148 40.73743240000001)
19191,Winneshiek County,July 01 2016,20427,POINT (-91.8437074 43.2906746)
19115,Louisa County,July 01 1994,11822,POINT (-91.2596184 41.2185073)
19025,Calhoun County,July 01 1995,11630,POINT (-94.6404136 42.385184800000005)
19075,Grundy County,July 01 2011,12478,POINT (-92.7914177 42.4018651)
19135,Monroe County,July 01 2018,7768,POINT (-92.8689877 41.0297826)
19177,Van Buren County,July 01 2001,7735,POINT (-91.9499871 40.7532294)
19145,Page County,July 01 2019,15107,POINT (-95.1501747 40.7391444)
19073,Greene County,July 01 2007,9497,POINT (-94.3968356 42.0362394)
19031,Cedar County,July 01 2008,18047,POINT (-91.1324125 41.7723207)
19149,Plymouth County,July 01 2019,25177,POINT (-96.2140431 42.7378346)
19051,Davis County,July 01 1999,8484,POINT (-92.4097173 40.7476891)
19089,Howard County,April 01 1990,9809,POINT (-92.3171989 43.3567673)
19003,Adams County,July 01 2009,3930,POINT (-94.6991849 41.02898390000001)
19065,Fayette County,July 01 1999,22179,POINT (-91.8443207 42.8625919)
19105,Jones County,July 01 1993,19818,POINT (-91.1314352 42.1212397)
19181,Warren County,July 01 1991,36170,POINT (-93.5613594 41.3343735)
19043,Clayton County,July 01 2004,18026,POINT (-91.34143280000002 42.8447493)
19169,Story County,July 01 2018,96781,POINT (-93.4650448 42.0362415)
19061,Dubuque County,July 01 2018,96922,POINT (-90.8824564 42.468832)
19009,Audubon County,July 01 2008,6105,POINT (-94.9058222 41.6845893)
19061,Dubuque County,July 01 2006,91390,POINT (-90.8824564 42.468832)
19031,Cedar County,July 01 1993,17703,POINT (-91.1324125 41.7723207)
19113,Linn County,July 01 1992,171320,POINT (-91.5989646 42.0789478)
19005,Allamakee County,July 01 2014,14062,POINT (-91.3780923 43.2842838)
19027,Carroll County,July 01 2001,21214,POINT (-94.8605593 42.0362382)
19169,Story County,April 01 2000,79981,POINT (-93.4650448 42.0362415)
19051,Davis County,July 01 2019,9000,POINT (-92.4097173 40.7476891)
19021,Buena Vista County,July 01 1998,20427,POINT (-95.15114900000002 42.7354936)
19157,Poweshiek County,July 01 2001,18850,POINT (-92.53146840000001 41.6864422)
19059,Dickinson County,July 01 2009,16623,POINT (-95.1508301 43.3779848)
19001,Adair County,July 01 2019,7152,POINT (-94.4709413 41.3307464)
19137,Montgomery County,July 01 2006,11135,POINT (-95.1563758 41.03014)
19143,Osceola County,July 01 2009,6344,POINT (-95.6236852 43.3785704)
19039,Clarke County,July 01 2012,9341,POINT (-93.78515790000002 41.0290323)
19197,Wright County,July 01 1999,14506,POINT (-93.7351465 42.7331189)
19131,Mitchell County,July 01 1997,10957,POINT (-92.7890315 43.3564124)
19087,Henry County,July 01 1993,19641,POINT (-91.5445241 40.9879383)
19171,Tama County,April 01 2010,17767,POINT (-92.5325425 42.07981170000001)
19117,Lucas County,July 01 2005,9588,POINT (-93.3277207 41.0293738)
19089,Howard County,April 01 2000,9934,POINT (-92.3171989 43.3567673)
19167,Sioux County,July 01 1997,31196,POINT (-96.1778827 43.0826174)
19005,Allamakee County,July 01 2012,14149,POINT (-91.3780923 43.2842838)
19047,Crawford County,July 01 2007,16503,POINT (-95.3819678 42.0372125)
19105,Jones County,July 01 2018,20673,POINT (-91.1314352 42.1212397)
19081,Hancock County,July 01 2001,11903,POINT (-93.7342723 43.0818861)
19009,Audubon County,July 01 2012,5865,POINT (-94.9058222 41.6845893)
19039,Clarke County,July 01 1997,8663,POINT (-93.78515790000002 41.0290323)
19187,Webster County,July 01 2007,38448,POINT (-94.18178810000002 42.4279662)
19147,Palo Alto County,July 01 2001,10029,POINT (-94.6781371 43.0820643)
19049,Dallas County,July 01 2004,49388,POINT (-94.0397374 41.6848862)
19091,Humboldt County,April 01 2010,9815,POINT (-94.2071868 42.7764686)
19081,Hancock County,July 01 2018,10710,POINT (-93.7342723 43.0818861)
19109,Kossuth County,April 01 1990,18591,POINT (-94.2067199 43.20413)
19117,Lucas County,July 01 2016,8555,POINT (-93.3277207 41.0293738)
19063,Emmet County,July 01 2001,10873,POINT (-94.6784803 43.37802250000001)
19139,Muscatine County,July 01 2017,42872,POINT (-91.1127562 41.4839221)
19075,Grundy County,July 01 2008,12110,POINT (-92.7914177 42.4018651)
19133,Monona County,July 01 2009,8882,POINT (-95.9599235 42.0516663)
19063,Emmet County,July 01 2016,9581,POINT (-94.6784803 43.37802250000001)
19073,Greene County,July 01 2016,9001,POINT (-94.3968356 42.0362394)
19035,Cherokee County,July 01 1995,13882,POINT (-95.6238055 42.7356226)
19085,Harrison County,July 01 2008,15245,POINT (-95.8169209 41.6828528)
19037,Chickasaw County,July 01 1997,13270,POINT (-92.3176637 43.06004140000001)
19155,Pottawattamie County,July 01 2007,89572,POINT (-95.5423935 41.3366123)
19055,Delaware County,July 01 2002,18123,POINT (-91.3673502 42.471211)
19075,Grundy County,July 01 2013,12341,POINT (-92.7914177 42.4018651)
19101,Jefferson County,July 01 2011,17096,POINT (-91.9488774 41.0317596)
19053,Decatur County,July 01 2005,8460,POINT (-93.7862815 40.7376827)
19133,Monona County,July 01 2013,9032,POINT (-95.9599235 42.0516663)
19103,Johnson County,July 01 2016,146928,POINT (-91.5880849 41.6715511)
19081,Hancock County,July 01 2006,11482,POINT (-93.7342723 43.0818861)
19011,Benton County,July 01 1993,22712,POINT (-92.0656912 42.0801864)
19061,Dubuque County,July 01 1999,88775,POINT (-90.8824564 42.468832)
19065,Fayette County,July 01 2011,20976,POINT (-91.8443207 42.8625919)
19033,Cerro Gordo County,July 01 1993,47060,POINT (-93.2608184 43.081557700000005)
19163,Scott County,April 01 2000,158689,POINT (-90.6232428 41.6370978)
19027,Carroll County,April 01 2010,20816,POINT (-94.8605593 42.0362382)
19017,Bremer County,July 01 2018,24941,POINT (-92.31805480000001 42.7745873)
19179,Wapello County,July 01 2012,35431,POINT (-92.4094499 41.03058450000001)
19167,Sioux County,July 01 2012,34282,POINT (-96.1778827 43.0826174)
19183,Washington County,July 01 1991,19617,POINT (-91.7178676 41.335591)
19173,Taylor County,July 01 2001,6892,POINT (-94.6964148 40.73743240000001)
19059,Dickinson County,July 01 2004,16478,POINT (-95.1508301 43.3779848)
19015,Boone County,April 01 1990,25186,POINT (-93.931671 42.0365493)
19079,Hamilton County,July 01 2009,15238,POINT (-93.7068085 42.3837722)
19191,Winneshiek County,July 01 1999,21251,POINT (-91.8437074 43.2906746)
19021,Buena Vista County,July 01 2003,19990,POINT (-95.15114900000002 42.7354936)
19117,Lucas County,July 01 1992,9166,POINT (-93.3277207 41.0293738)
19073,Greene County,July 01 1996,10226,POINT (-94.3968356 42.0362394)
19141,O'Brien County,July 01 2014,14042,POINT (-95.6248784 43.0837527)
19063,Emmet County,July 01 1991,11592,POINT (-94.6784803 43.37802250000001)
19169,Story County,July 01 2017,97278,POINT (-93.4650448 42.0362415)
19009,Audubon County,July 01 2001,6657,POINT (-94.9058222 41.6845893)
19187,Webster County,July 01 1992,40335,POINT (-94.18178810000002 42.4279662)
19049,Dallas County,July 01 1993,31360,POINT (-94.0397374 41.6848862)
19085,Harrison County,July 01 1998,15498,POINT (-95.8169209 41.6828528)
19071,Fremont County,April 01 1990,8226,POINT (-95.6046765 40.7455892)
19053,Decatur County,April 01 1990,8338,POINT (-93.7862815 40.7376827)
19007,Appanoose County,July 01 1996,13723,POINT (-92.8686104 40.7431635)
19025,Calhoun County,April 01 1990,11508,POINT (-94.6404136 42.385184800000005)
19025,Calhoun County,July 01 2001,10946,POINT (-94.6404136 42.385184800000005)
19069,Franklin County,July 01 2014,10433,POINT (-93.262473 42.7325458)
19105,Jones County,July 01 2019,20681,POINT (-91.1314352 42.1212397)
